Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
NFLX,08/31/22,227.00,233.88,223.43,223.56,8611163,2.91,1.32%
NFLX,08/30/22,226.66,229.79,218.74,220.65,5736210,-3.92,-1.75%
NFLX,08/29/22,221.93,229.87,221.52,224.57,7112112,1.29,0.58%
NFLX,08/26/22,233.63,236.95,223.15,223.28,5349899,-10.70,-4.57%
NFLX,08/25/22,230.24,234.16,229.00,233.98,3765929,4.37,1.90%
NFLX,08/24/22,225.66,234.10,223.94,229.61,5424852,5.06,2.25%
NFLX,08/23/22,226.46,229.90,224.30,224.55,5274899,-1.99,-0.88%
NFLX,08/22/22,232.55,233.47,224.59,226.54,8627458,-14.62,-6.06%
NFLX,08/19/22,240.95,243.29,235.68,241.16,7504752,-4.01,-1.64%
NFLX,08/18/22,241.96,246.48,239.28,245.17,5277347,4.02,1.67%
NFLX,08/17/22,241.18,244.24,237.56,241.15,5621976,-4.54,-1.85%
NFLX,08/16/22,247.16,249.29,244.03,245.69,5134836,-3.42,-1.37%
NFLX,08/15/22,248.11,251.99,247.51,249.11,6525517,-0.19,-0.08%
NFLX,08/12/22,244.81,249.41,243.76,249.30,6098583,6.60,2.72%
NFLX,08/11/22,244.68,251.62,241.51,242.70,8777044,-1.41,-0.58%
NFLX,08/10/22,236.99,244.54,236.60,244.11,9246604,14.17,6.16%
NFLX,08/09/22,231.62,232.20,224.65,229.94,6177299,-3.55,-1.52%
NFLX,08/08/22,227.49,241.96,226.41,233.49,10989648,6.71,2.96%
NFLX,08/05/22,225.30,228.62,222.87,226.78,5539828,-3.13,-1.36%
NFLX,08/04/22,227.68,232.07,225.05,229.91,7140220,3.17,1.40%
NFLX,08/03/22,224.79,228.10,222.42,226.74,6397991,5.32,2.40%
NFLX,08/02/22,222.76,228.20,220.88,221.42,6358635,-4.79,-2.12%
NFLX,08/01/22,223.10,228.39,221.00,226.21,5523118,1.32,0.59%
NFLX,07/29/22,223.29,230.75,222.40,224.89,9064969,-1.13,-0.50%
NFLX,07/28/22,224.60,228.10,219.67,226.02,8970224,-0.73,-0.32%
NFLX,07/27/22,216.48,227.75,214.58,226.75,10518207,12.84,6.00%
NFLX,07/26/22,216.66,219.39,211.64,213.91,9500793,-4.60,-2.11%
NFLX,07/25/22,221.31,225.23,216.35,218.51,10924468,-1.93,-0.88%
NFLX,07/22/22,222.38,229.35,218.44,220.44,17805552,-3.44,-1.54%
NFLX,07/21/22,214.30,224.32,211.50,223.88,23426032,7.44,3.44%
NFLX,07/20/22,208.17,216.97,200.10,216.44,53896400,14.81,7.35%
NFLX,07/19/22,193.02,201.97,188.40,201.63,27984706,10.71,5.61%
NFLX,07/18/22,192.50,199.67,189.80,190.92,16312531,1.81,0.96%
NFLX,07/15/22,175.58,189.22,174.56,189.11,16319339,14.33,8.20%
NFLX,07/14/22,175.56,177.52,171.82,174.78,9037477,-1.78,-1.01%
NFLX,07/13/22,170.50,179.18,169.70,176.56,12719420,2.11,1.21%
NFLX,07/12/22,177.33,179.78,173.42,174.45,6843625,-2.89,-1.63%
NFLX,07/11/22,184.73,184.99,176.89,177.34,6044079,-9.63,-5.15%
NFLX,07/08/22,186.02,189.91,182.75,186.97,5835707,-2.31,-1.22%
NFLX,07/07/22,184.27,190.21,183.50,189.28,6328075,5.22,2.84%
NFLX,07/06/22,185.20,186.22,180.82,184.06,5749167,-1.82,-0.98%
NFLX,07/05/22,176.28,185.91,172.68,185.88,7336994,5.93,3.30%
NFLX,07/01/22,176.49,180.10,174.27,179.95,5204989,5.08,2.91%
NFLX,06/30/22,177.07,179.45,170.30,174.87,7891240,-3.49,-1.96%
NFLX,06/29/22,179.55,180.66,175.10,178.36,5764926,-1.24,-0.69%
NFLX,06/28/22,189.20,192.20,179.37,179.60,7193768,-9.54,-5.04%
NFLX,06/27/22,191.77,191.78,182.39,189.14,8359588,-1.71,-0.90%
NFLX,06/24/22,183.50,191.19,181.84,190.85,12423975,9.14,5.03%
NFLX,06/23/22,180.50,182.76,175.87,181.71,9533686,2.82,1.58%
NFLX,06/22/22,170.75,182.82,170.20,178.89,12002801,7.98,4.67%
NFLX,06/21/22,177.60,178.62,169.80,170.91,12173883,-4.60,-2.62%
NFLX,06/17/22,173.63,179.65,173.34,175.51,12133389,2.16,1.25%
NFLX,06/16/22,174.00,176.27,171.56,173.35,8197507,-6.76,-3.75%
NFLX,06/15/22,169.26,183.84,168.53,180.11,12390514,12.57,7.50%
NFLX,06/14/22,169.75,172.06,164.28,167.54,11548101,-2.15,-1.27%
NFLX,06/13/22,177.07,179.09,168.96,169.69,10216011,-13.25,-7.24%
NFLX,06/10/22,182.64,185.86,180.85,182.94,13074282,-9.83,-5.10%
NFLX,06/09/22,200.65,201.69,192.54,192.77,6940781,-10.06,-4.96%
NFLX,06/08/22,197.95,207.38,197.64,202.83,7238033,4.22,2.12%
NFLX,06/07/22,194.87,199.60,193.00,198.61,4837440,1.43,0.73%
NFLX,06/06/22,202.09,203.87,195.38,197.18,5368150,-1.80,-0.90%
NFLX,06/03/22,200.14,202.95,198.05,198.98,7191840,-6.11,-2.98%
NFLX,06/02/22,192.02,205.47,191.72,205.09,9632804,12.18,6.31%
NFLX,06/01/22,198.70,202.74,191.66,192.91,8411365,-4.53,-2.29%
NFLX,05/31/22,196.18,199.95,190.80,197.44,11392209,2.25,1.15%
NFLX,05/27/22,193.19,195.25,190.37,195.19,8586017,3.79,1.98%
NFLX,05/26/22,186.49,192.34,183.09,191.40,8046120,3.57,1.90%
NFLX,05/25/22,180.28,188.87,180.17,187.83,8518465,7.49,4.15%
NFLX,05/24/22,182.00,184.00,177.17,180.34,7700456,-7.10,-3.79%
NFLX,05/23/22,186.15,187.66,177.89,187.44,9591996,1.09,0.58%
NFLX,05/20/22,185.87,190.19,179.77,186.35,10265421,2.87,1.56%
NFLX,05/19/22,178.04,186.30,175.71,183.48,10444287,6.29,3.55%
NFLX,05/18/22,186.72,187.70,176.27,177.19,9650002,-13.37,-7.02%
NFLX,05/17/22,189.17,191.40,185.17,190.56,9864955,4.05,2.17%
NFLX,05/16/22,193.30,195.89,185.70,186.51,16139783,-1.13,-0.60%
NFLX,05/13/22,177.16,187.77,176.01,187.64,13136380,13.33,7.65%
NFLX,05/12/22,163.96,177.58,162.71,174.31,17634560,7.94,4.77%
NFLX,05/11/22,176.09,180.92,165.55,166.37,12647119,-11.29,-6.35%
NFLX,05/10/22,176.01,181.87,170.57,177.66,13874772,4.56,2.63%
NFLX,05/09/22,177.65,183.20,172.30,173.10,14022736,-7.87,-4.35%
NFLX,05/06/22,186.75,187.21,175.81,180.97,17185736,-7.35,-3.90%
NFLX,05/05/22,200.45,200.71,186.00,188.32,14022147,-15.69,-7.69%
NFLX,05/04/22,197.65,204.38,191.01,204.01,12195568,4.14,2.07%
NFLX,05/03/22,198.29,203.20,194.77,199.87,11814246,0.41,0.21%
NFLX,05/02/22,191.71,200.21,190.01,199.46,14579048,9.10,4.78%
NFLX,04/29/22,198.68,204.71,190.00,190.36,16400021,-9.16,-4.59%
NFLX,04/28/22,191.56,201.48,185.60,199.52,21351608,10.98,5.82%
NFLX,04/27/22,194.01,200.19,187.77,188.54,22281984,-9.86,-4.97%
NFLX,04/26/22,208.80,209.15,198.28,198.40,20285184,-11.51,-5.48%
NFLX,04/25/22,213.81,216.66,204.51,209.91,28133902,-5.61,-2.60%
NFLX,04/22/22,220.18,226.27,210.05,215.52,37516068,-2.70,-1.24%
NFLX,04/21/22,220.00,227.68,211.52,218.22,53452736,-7.97,-3.52%
NFLX,04/20/22,245.20,248.70,212.51,226.19,133274224,-122.42,-35.12%
NFLX,04/19/22,333.22,351.68,333.22,348.61,20468952,10.75,3.18%
NFLX,04/18/22,340.00,342.36,331.62,337.86,5100363,-3.27,-0.96%
NFLX,04/14/22,350.95,352.00,339.86,341.13,4343870,-9.30,-2.65%
NFLX,04/13/22,343.92,352.00,341.15,350.43,3229855,6.33,1.84%
NFLX,04/12/22,355.91,359.41,342.25,344.10,3823049,-3.90,-1.12%
NFLX,04/11/22,350.00,354.78,345.20,348.00,3774290,-7.88,-2.21%
NFLX,04/08/22,361.96,362.50,354.87,355.88,4025355,-6.27,-1.73%
NFLX,04/07/22,365.00,368.54,353.69,362.15,4961304,-6.20,-1.68%
NFLX,04/06/22,374.15,376.47,362.73,368.35,4352183,-11.80,-3.10%
NFLX,04/05/22,389.30,390.00,377.31,380.15,4234252,-11.35,-2.90%
NFLX,04/04/22,373.55,396.02,373.13,391.50,7005703,18.03,4.83%
NFLX,04/01/22,376.80,380.87,368.50,373.47,4644330,-1.12,-0.30%
NFLX,03/31/22,383.59,384.00,373.61,374.59,4136296,-6.88,-1.80%
NFLX,03/30/22,389.55,392.70,378.62,381.47,4021224,-10.35,-2.64%
NFLX,03/29/22,384.39,396.50,380.33,391.82,5879783,13.31,3.52%
NFLX,03/28/22,375.23,380.28,366.73,378.51,4320387,4.66,1.25%
NFLX,03/25/22,377.07,377.64,366.43,373.85,3576053,-1.86,-0.50%
NFLX,03/24/22,379.76,379.76,368.90,375.71,3886349,1.22,0.33%
NFLX,03/23/22,379.77,382.46,374.49,374.49,3728355,-8.43,-2.20%
NFLX,03/22/22,371.14,386.66,366.76,382.92,4246483,8.33,2.22%
NFLX,03/21/22,378.02,381.82,368.94,374.59,4863604,-6.01,-1.58%
NFLX,03/18/22,372.00,381.80,368.47,380.60,8324886,9.20,2.48%
NFLX,03/17/22,359.70,373.31,354.88,371.40,5816151,13.87,3.88%
NFLX,03/16/22,348.20,359.99,343.06,357.53,6979459,13.78,4.01%
NFLX,03/15/22,335.10,345.36,332.36,343.75,5459891,12.74,3.85%
NFLX,03/14/22,338.72,341.32,329.82,331.01,5906446,-9.31,-2.74%
NFLX,03/11/22,361.19,363.36,340.00,340.32,4820016,-16.45,-4.61%
NFLX,03/10/22,356.20,367.02,353.30,356.77,4799308,-2.02,-0.56%
NFLX,03/09/22,357.68,364.14,350.51,358.79,6517246,17.03,4.98%
NFLX,03/08/22,349.80,358.86,340.67,341.76,6422246,-8.50,-2.43%
NFLX,03/07/22,360.41,362.00,350.20,350.26,5718023,-11.47,-3.17%
NFLX,03/04/22,368.00,374.82,357.17,361.73,5329209,-6.34,-1.72%
NFLX,03/03/22,386.00,386.12,364.65,368.07,6065226,-11.96,-3.15%
NFLX,03/02/22,388.93,389.22,375.21,380.03,5351235,-6.21,-1.61%
NFLX,03/01/22,391.60,395.00,383.70,386.24,3286768,-8.28,-2.10%
NFLX,02/28/22,387.33,397.75,382.13,394.52,5030666,3.72,0.95%
NFLX,02/25/22,386.61,391.29,382.66,390.80,4841821,0.77,0.20%
NFLX,02/24/22,355.09,390.73,354.90,390.03,7060663,22.57,6.14%
NFLX,02/23/22,382.72,386.00,366.66,367.46,4607806,-9.43,-2.50%
NFLX,02/22/22,388.95,392.42,373.02,376.89,6694141,-14.40,-3.68%
NFLX,02/18/22,,,,391.29,0,4.62,1.19%
NFLX,02/17/22,394.23,399.11,385.70,386.67,4665846,-11.41,-2.87%
NFLX,02/16/22,401.53,401.56,390.38,398.08,5273310,-9.38,-2.30%
NFLX,02/15/22,403.79,409.16,401.01,407.46,5392513,10.89,2.75%
NFLX,02/14/22,387.59,409.36,386.89,396.57,7193119,5.26,1.34%
NFLX,02/11/22,405.33,411.61,387.65,391.31,7859088,-14.96,-3.68%
NFLX,02/10/22,402.10,408.00,396.36,406.27,8526377,-6.62,-1.60%
NFLX,02/09/22,408.65,412.98,398.79,412.89,7731356,9.36,2.32%
NFLX,02/08/22,398.18,406.61,395.83,403.53,6815531,1.43,0.36%
NFLX,02/07/22,410.17,412.35,393.55,402.10,8237027,-8.07,-1.97%
NFLX,02/04/22,407.31,412.77,396.64,410.17,7794198,4.57,1.13%
NFLX,02/03/22,421.44,,404.28,405.60,9996491,-23.88,-5.56%
NFLX,02/02/22,448.25,451.98,426.48,429.48,14303975,-27.65,-6.05%
NFLX,02/01/22,432.96,458.48,425.54,457.13,22544682,41.40,9.96%
NFLX,01/31/22,401.97,,,415.73,20027040,31.37,8.16%
NFLX,01/28/22,386.76,387.00,372.08,384.36,11967152,-2.64,-0.68%
NFLX,01/27/22,382.06,394.80,378.10,387.00,24304556,27.30,7.59%
NFLX,01/26/22,378.27,382.66,357.27,359.70,12608019,-6.72,-1.83%
NFLX,01/25/22,379.14,387.71,365.13,366.42,15115431,-20.73,-5.35%
NFLX,01/24/22,383.91,387.26,351.46,387.15,32512592,-10.35,-2.60%
NFLX,01/21/22,400.42,409.15,379.99,397.50,58910940,-110.75,-21.79%
NFLX,01/20/22,517.75,526.64,506.93,508.25,11705589,-7.61,-1.48%
NFLX,01/19/22,515.00,523.21,510.51,515.86,4351381,5.06,0.99%
NFLX,01/18/22,520.08,521.75,508.77,510.80,4852295,-14.89,-2.83%
NFLX,01/14/22,,,,525.69,0,6.49,1.25%
NFLX,01/13/22,537.06,540.79,518.26,519.20,4457290,-18.02,-3.35%
NFLX,01/12/22,544.27,544.27,532.02,537.22,3786575,-3.62,-0.67%
NFLX,01/11/22,536.99,543.91,530.07,540.84,3073084,0.99,0.18%
NFLX,01/10/22,538.49,543.69,526.32,539.85,4483364,-1.21,-0.22%
NFLX,01/07/22,549.46,553.43,538.22,541.06,3382973,-12.23,-2.21%
NFLX,01/06/22,554.34,563.36,542.01,553.29,5711300,-14.23,-2.51%
NFLX,01/05/22,592.00,592.84,566.88,567.52,4145175,-23.63,-4.00%
NFLX,01/04/22,599.91,600.41,581.60,591.15,4392036,-6.22,-1.04%
NFLX,01/03/22,605.61,609.99,590.56,597.37,3072880,-5.07,-0.84%
NFLX,12/31/21,610.01,614.08,602.05,602.44,1995918,-9.65,-1.58%
NFLX,12/30/21,612.99,620.61,611.24,612.09,1621936,1.55,0.25%
NFLX,12/29/21,610.71,613.98,604.68,610.54,1287243,-0.17,-0.03%
NFLX,12/28/21,614.95,618.41,609.69,610.71,1882819,-25.84,-4.06%
NFLX,12/27/21,615.00,636.55,609.25,636.55,2061528,22.46,3.66%
NFLX,12/23/21,616.40,616.88,607.57,614.09,1621147,-0.15,-0.02%
NFLX,12/22/21,603.36,614.82,602.63,614.24,2332797,9.32,1.54%
NFLX,12/21/21,604.92,607.82,593.86,604.92,2317588,11.18,1.88%
NFLX,12/20/21,593.74,602.88,584.26,593.74,3354902,7.01,1.19%
NFLX,12/17/21,591.61,593.25,581.74,586.73,4455609,-4.33,-0.73%
NFLX,12/16/21,597.09,602.83,588.00,591.06,3139911,-13.98,-2.31%
NFLX,12/15/21,598.18,605.69,584.51,605.04,2864021,7.05,1.18%
NFLX,12/14/21,598.71,602.29,588.13,597.99,2983194,-38.56,-6.06%
NFLX,12/13/21,612.00,636.55,599.52,636.55,2487527,24.89,4.07%
NFLX,12/10/21,616.78,617.74,605.88,611.66,2748774,0.66,0.11%
NFLX,12/09/21,627.58,630.24,610.44,611.00,2374532,-17.08,-2.72%
NFLX,12/08/21,630.00,632.46,623.20,628.08,2219191,5.78,0.93%
NFLX,12/07/21,619.83,628.89,611.40,622.30,3124069,10.06,1.64%
NFLX,12/06/21,606.01,617.29,601.00,612.24,3088557,11.73,1.95%
NFLX,12/03/21,622.75,625.50,594.00,600.51,4829388,-15.96,-2.59%
NFLX,12/02/21,617.10,623.65,612.88,616.47,3328727,-1.30,-0.21%
